rue Jean Goujon;8
place Chassaigne-Goyon;8
place du Guatemala;8
voie J/8;8
rue Larribe;8
rue Maleville;8
passage Marignan;8
rue Jean Mermoz;8
rue de Moscou;8
rue Murillo;8
villa Nouvelle;8
rue Pelouze;8
rue de Penthièvre;8
rue de la Pépinière;8
passage Puteaux;8
rue de la Renaissance;8
rue du Rocher;8
impasse Ruffin;8
rue de Surène;8
rue Treilhard;8
avenue de Valois;8
rue de Vézelay;8
rue de Vienne;8
impasse de Bergame;20
rue Roger Bissière;20
rue Saint-Blaise;20
rue Irénée Blanc;20
place Marc Bloch;20
rue Pierre Bonnard;20
rue Delphine Seyrig;19
passage Boudin;20
voie CA/20;20
square des Cardeurs;20
avenue Cartellier;20
voie CD/20;20
rue des Grands Champs;20
rue Géo Chavez;20
rue du Cher;20
impasse de la Confiance;20
rue Monte Cristo;20
allée du Père Julien Dhuit;20
voie DK/20;20
voie DL/20;20
rue Étienne Dolet;20
rue Henri Dubouillon;20
rue de la Duée;20
rue Raoul Dufy;20
rue Jean-Baptiste Dumay;20
voie ED/20;20
voie EE/20;20
rue Emmery;20
rue des Envierges;20
voie EQ/20;20
cité de l'Ermitage;20
rue de l'Est;20
voie ET/20;20
voie EV/20;20
place Fréhel;20
rue Charles Friedel;20
rue Ferdinand Gambon;20
passage Josseaume;20
rue Dupont De L'Eure;20
rue du Commandant L'Herminier;20
cité du Labyrinthe;20
passage Julien Lacroix;20
rue de Lagny;20
passage de Lagny;20
rue Eugénie Legrand;20
rue de Lesseps;20
rue Lisfranc;20
rue de la Mare;20
rue Étienne Marey;20
rue des Maronites;20
rue Albert Marquet;20
rue de l'Élysée Ménilmontant;20
passage Monplaisir;20
rue Mouraud;20
rue de Terre Neuve;20
impasse des Orteaux;20
rue Paganini;20
impasse des Panoyaux;20
rue des Partants;20
passage Perreur;20
impasse du Pilier;20
passage Planchard;20
impasse des Cloÿs;18
rue de l'Armée D'Orient;18
place Dalida;18
passage Duhesme;18
rue Duhesme;18
cité Falaise;18
rue Eugène Fournière;18
rue Pierre Ginier;18
impasse Sainte-Henriette;18
rue Hermel;18
rue Charles Hermite;18
rue Lambert;18
passage Lathuille;18
passage Plantin;20
rue des Plâtrières;20
impasse Poule;20
villa des Pyrénées;20
rue Ramus;20
impasse Rançon;20
rue du Repos;20
villa Riberolle;20
rue Victor Ségalen;20
rue Serpollet;20
rue de la Croix Saint-Simon;20
rue Henri Tomasi;20
rue Paul-Jean Toulet;20
villa Dury-Vasselon;20
rue Jean Veber;20
place de l'Adjudant Vincenot;20
rue Albert Willemetz;20
allée Alexandre Vialatte;13
allée Christian Pineau;7
rue Jean Oberlé;19
rue Jean-Baptiste Say;9
voie CR/15;15
place Gilbert Privat;14
rue Charles-François Dupuis;3
place du Dix-Neuf Mars 1962;12
rue de la Dhuis;20
rue Dulaure;20
rue Duris;20
cité des Écoles;20
voie EG/20;20
voie EH/20;20
voie EL/20;20
voie EP/20;20
voie ER/20;20
voie ES/20;20
voie EU/20;20
rue d'Eupatoria;20
voie EZ/20;20
place Saint-Fargeau;20
villa Faucheur;20
rue des Frères Flavien;20
rue des Fougères;20
rue Léon Frapié;20
passage Fréquel;20
passage Gambetta;20
avenue Gambetta;20
square Roland Garros;20
square de la Gascogne;20
avenue Léon Gaumont;20
cité de Gênes;20
rue des Glaïeuls;20
impasse Gros;20
rue Gasnier-Guy;20
rue Reynaldo Hahn;20
rue Harpignies;20
rue du Jourdain;20
avenue du Père Lachaise;20
cité Leclaire;20
rue Lemon;20
rue Levert;20
rue du Liban;20
rue des Lyanes;20
rue Leuck Mathieu;20
passage du Ruisseau de Ménilmontant;20
place Auguste Métivier;20
villa Olivier Métra;20
rue Olivier Métra;20
place de la Porte de Montreuil;20
avenue de la Porte de Montreuil;20
boulevard Mortier;20
